global_case_id,density_group_id,local_case_id,input_anomaly_score,target_anomaly_score,case_feature_anomaly_score,max_abs_case_feature_zscore,combined_anomaly_rank_score
29,1,29,0.6443547820408004,0.6207373996636231,0.7001075216256888,3.944172676206777,3.8850574712643677
5,1,5,0.6511023227110628,0.6759453098211075,0.595658824630115,3.378980876889299,3.8686371100164205
609,21,29,0.6150344637995285,0.5922293722686948,0.6722619871343043,3.944172676206777,3.7963875205254514
348,12,29,0.5933606007416216,0.6038153286901699,0.6706432739610256,3.944172676206777,3.7766830870279144
6,1,6,0.640615053549294,0.6901063109003285,0.5886989928988201,1.9265120301555345,3.7701149425287355
319,11,29,0.6128221351854102,0.5744949986125902,0.6800389620832651,3.944172676206777,3.765188834154351
324,12,5,0.613419009011365,0.6379925776564139,0.5619431910521753,3.2757141582652602,3.7569786535303775
585,21,5,0.644667093384379,0.6548876995026908,0.5319466951093859,2.696522562504346,3.7405582922824303
295,11,5,0.6257898486753524,0.6579966722886178,0.537753822950836,2.692032705172866,3.729064039408867
4,1,4,0.6577438713815498,0.6486037359703978,0.5453998505343827,2.157739682726752,3.7274220032840724
28,1,28,0.6328519679659945,0.5718221823133174,0.6632587493511275,2.6897562856649038,3.70935960591133
34,2,5,0.5759909722258343,0.6448244439499495,0.564285512560402,3.3116330169170998,3.696223316912972
586,21,6,0.6357857047435034,0.6803703939590847,0.5435165889629067,1.7918163102111362,3.665024630541872
556,20,5,0.6026070750634849,0.6210674345608381,0.5305174116841664,2.7481559218163656,3.650246305418719
296,11,6,0.6112178641967484,0.6841590064842232,0.5439390364046013,1.794061238876876,3.6436781609195403
325,12,6,0.5987219467210441,0.6489117765261119,0.5535008977780169,1.872633742177775,3.6420361247947453
58,2,29,0.5605665619822298,0.5938940407191228,0.6701896793648203,3.944172676206777,3.638752052545156
580,20,29,0.5720775548558971,0.5484044556327039,0.6557943757829178,5.325793126061864,3.632183908045977
3,1,3,0.6685382584102572,0.6728148054926434,0.5228024968374047,1.7289583075704167,3.6272577996715927
377,13,29,0.5523550094994281,0.5737494618465843,0.6615366041070677,4.451355930687436,3.57799671592775
557,20,6,0.5922321766800253,0.648045412078374,0.5353106842716113,1.807530810871316,3.5763546798029555
2,1,2,0.6777961701406297,0.694954162215262,0.5184686048621249,1.6863046629213572,3.5714285714285716
318,11,28,0.6056438664191607,0.5428096784679123,0.6177000764354419,2.6897562856649038,3.569786535303777
1,1,1,0.6997451432339248,0.7114260818462238,0.5182042143125474,1.6809168341235812,3.566502463054187
608,21,28,0.6096485739282753,0.539017699589294,0.6156139699100729,2.6897562856649038,3.561576354679803
347,12,28,0.5838663917266267,0.5459834503764079,0.6249701932810391,2.6897562856649038,3.552545155993432
353,13,5,0.5514929941045877,0.6262070600752074,0.5447279640370163,3.2353054422819407,3.539408866995074
35,2,6,0.5611609756283054,0.6493509699131619,0.5638224723818963,1.9152873868268345,3.5385878489326763
551,19,29,0.5485381447735228,0.5459216412583833,0.6408807188358596,5.245651224245471,3.513957307060755
63,3,5,0.5453775839179987,0.6244269937510891,0.5441476027229701,3.2353054422819407,3.5114942528735633
